Detectado,Acuracia
car, 0.9948
car, 0.9899
car, 0.9864
car, 0.9470
person, 0.6224
car, 0.9949
car, 0.9928
car, 0.9894
car, 0.9288
person, 0.6701
person, 0.5967
car, 0.9949
car, 0.9929
car, 0.9892
car, 0.9288
person, 0.6621
person, 0.5970
car, 0.9822
car, 0.9757
car, 0.9523
car, 0.8477
person, 0.5478
person, 0.5244
car, 0.9820
car, 0.9761
car, 0.9536
car, 0.8471
person, 0.5401
person, 0.5374
car, 0.9831
car, 0.9754
car, 0.9549
car, 0.8262
person, 0.5500
person, 0.5459
car, 0.9965
car, 0.9818
car, 0.9751
car, 0.8223
person, 0.6332
car, 0.9967
car, 0.9815
car, 0.9748
car, 0.8222
person, 0.6419
car, 0.9968
car, 0.9822
car, 0.9760
car, 0.8129
person, 0.6423
car, 0.9974
car, 0.9666
car, 0.9341
car, 0.9153
car, 0.9974
car, 0.9667
car, 0.9327
car, 0.9178
car, 0.9974
car, 0.9666
car, 0.9334
car, 0.9153
car, 0.9972
car, 0.9799
car, 0.9261
car, 0.8157
car, 0.9971
car, 0.9800
car, 0.9228
car, 0.8055
car, 0.9915
car, 0.9506
car, 0.8865
car, 0.7331
person, 0.5404
car, 0.9915
car, 0.9498
car, 0.8825
car, 0.7583
person, 0.5685
car, 0.9849
car, 0.9696
car, 0.9435
car, 0.6555
car, 0.9849
car, 0.9701
car, 0.9422
car, 0.6472
car, 0.9840
car, 0.9654
car, 0.9454
car, 0.6899
car, 0.9832
car, 0.9669
car, 0.9451
car, 0.6762
car, 0.9771
car, 0.9730
car, 0.8655
car, 0.9767
car, 0.9726
car, 0.8594
car, 0.9756
car, 0.9444
car, 0.9267
car, 0.9732
car, 0.9451
car, 0.9304
car, 0.9736
car, 0.9428
car, 0.9217
car, 0.9728
car, 0.9425
car, 0.9225
car, 0.9471
car, 0.8588
car, 0.7762
car, 0.9467
car, 0.8531
car, 0.7812
car, 0.9462
car, 0.8485
car, 0.7780
car, 0.9463
car, 0.8505
car, 0.7803
car, 0.9156
car, 0.9005
car, 0.7777
car, 0.6442
car, 0.9147
car, 0.8984
car, 0.7742
car, 0.6439
car, 0.9647
car, 0.8902
car, 0.8591
car, 0.7458
car, 0.7104
car, 0.9634
car, 0.8917
car, 0.8548
car, 0.7442
car, 0.7077
car, 0.9470
car, 0.8214
car, 0.7998
car, 0.6381
