Detectado,Acuracia
person, 0.9835
person, 0.9507
person, 0.9432
person, 0.9415
person, 0.9247
person, 0.9005
person, 0.8914
person, 0.8473
person, 0.8270
person, 0.8168
person, 0.8084
person, 0.7400
person, 0.7390
person, 0.7252
person, 0.7188
person, 0.7131
person, 0.6963
person, 0.6219
person, 0.6078
person, 0.5823
person, 0.5586
person, 0.5401
person, 0.5096
person, 0.9885
person, 0.9590
person, 0.9524
person, 0.9261
person, 0.9206
person, 0.9145
person, 0.9042
person, 0.8931
person, 0.8860
person, 0.8433
person, 0.8332
person, 0.8136
person, 0.7717
person, 0.7445
person, 0.7165
person, 0.7164
person, 0.6798
person, 0.6746
person, 0.6105
person, 0.6023
person, 0.5753
person, 0.5635
person, 0.5101
person, 0.9857
person, 0.9621
person, 0.9539
person, 0.9429
person, 0.9385
person, 0.9293
person, 0.9183
person, 0.8995
person, 0.8977
person, 0.8854
person, 0.8834
person, 0.8274
person, 0.7963
person, 0.7462
person, 0.7151
person, 0.7127
person, 0.7093
person, 0.6573
person, 0.6409
person, 0.6325
person, 0.5970
person, 0.5879
person, 0.9866
person, 0.9586
person, 0.9581
person, 0.9477
person, 0.9323
person, 0.9118
person, 0.8951
person, 0.8935
person, 0.8815
person, 0.8802
person, 0.8640
person, 0.7499
person, 0.7409
person, 0.7224
person, 0.7150
person, 0.6925
person, 0.6659
person, 0.5979
person, 0.5861
person, 0.5460
person, 0.5125
person, 0.9872
person, 0.9754
person, 0.9625
person, 0.9516
person, 0.9381
person, 0.9041
person, 0.8961
person, 0.8888
person, 0.8840
person, 0.8818
person, 0.8226
person, 0.7868
person, 0.7625
person, 0.7416
person, 0.7179
person, 0.7116
person, 0.6748
person, 0.6306
person, 0.6225
person, 0.6055
person, 0.5743
person, 0.5407
person, 0.5366
person, 0.9889
person, 0.9694
person, 0.9495
person, 0.9456
person, 0.9336
person, 0.9080
person, 0.8990
person, 0.8859
person, 0.8807
person, 0.7885
person, 0.7777
person, 0.7584
person, 0.7488
person, 0.7331
person, 0.6925
person, 0.6775
person, 0.6110
person, 0.6018
person, 0.5874
person, 0.5700
person, 0.5116
person, 0.5111
person, 0.9837
person, 0.9652
person, 0.9626
person, 0.9395
person, 0.9332
