Detectado,Acuracia
person, 0.9955
person, 0.9908
person, 0.9865
person, 0.9851
person, 0.9206
person, 0.6302
person, 0.9955
person, 0.9910
person, 0.9866
person, 0.9851
person, 0.9205
person, 0.6295
person, 0.9955
person, 0.9909
person, 0.9869
person, 0.9849
person, 0.9199
person, 0.6272
person, 0.9957
person, 0.9924
person, 0.9916
person, 0.9780
person, 0.9087
person, 0.9941
person, 0.9930
person, 0.9729
person, 0.9291
person, 0.8851
person, 0.6195
person, 0.9902
person, 0.9828
person, 0.9763
person, 0.9574
person, 0.9160
person, 0.6230
person, 0.9901
person, 0.9823
person, 0.9764
person, 0.9602
person, 0.9171
person, 0.6316
person, 0.9945
person, 0.9865
person, 0.9597
person, 0.9465
person, 0.9399
person, 0.9962
person, 0.9880
person, 0.9538
person, 0.8616
person, 0.8364
person, 0.9974
person, 0.9950
person, 0.9212
person, 0.8417
person, 0.8003
person, 0.9978
person, 0.9951
person, 0.9541
person, 0.8421
person, 0.7531
person, 0.9984
person, 0.9942
person, 0.9615
person, 0.7171
person, 0.6879
person, 0.5065
person, 0.9975
person, 0.9933
person, 0.9337
person, 0.7438
person, 0.9973
person, 0.9950
person, 0.9381
parking meter, 0.5002
person, 0.9963
person, 0.9879
person, 0.9442
person, 0.7074
parking meter, 0.5051
person, 0.9959
person, 0.9914
person, 0.9237
person, 0.6871
person, 0.5230
person, 0.5159
person, 0.9941
person, 0.9935
person, 0.9219
person, 0.9218
person, 0.5719
person, 0.5610
person, 0.9902
person, 0.9715
person, 0.8889
person, 0.7833
person, 0.6128
person, 0.9902
person, 0.9713
person, 0.8890
person, 0.8030
person, 0.6142
person, 0.9801
person, 0.9463
person, 0.9228
person, 0.8952
person, 0.8875
person, 0.5520
person, 0.5319
person, 0.9631
person, 0.9366
person, 0.9253
person, 0.9124
person, 0.7198
person, 0.6419
person, 0.9864
person, 0.9618
person, 0.9062
person, 0.8649
person, 0.8144
backpack, 0.5801
person, 0.5592
person, 0.5316
person, 0.9886
person, 0.9849
person, 0.9384
person, 0.9098
person, 0.6140
person, 0.5510
person, 0.9929
person, 0.9875
person, 0.8981
person, 0.8811
person, 0.5537
person, 0.5484
person, 0.5255
person, 0.9934
person, 0.9890
person, 0.8844
person, 0.8100
person, 0.6435
person, 0.6062
person, 0.9955
person, 0.9932
person, 0.9519
person, 0.8623
person, 0.8265
person, 0.6592
person, 0.9945
person, 0.9928
person, 0.9633
person, 0.9101
person, 0.8330
person, 0.6723
person, 0.6133
person, 0.9932
person, 0.9922
person, 0.9789
person, 0.9151
person, 0.8119
person, 0.7227
person, 0.6691
person, 0.9936
person, 0.9912
person, 0.9843
person, 0.8996
person, 0.7939
person, 0.7679
person, 0.7276
person, 0.9943
person, 0.9934
person, 0.9874
person, 0.9263
person, 0.8203
person, 0.7611
person, 0.5676
person, 0.9944
person, 0.9932
person, 0.9862
person, 0.9278
person, 0.7823
person, 0.7815
person, 0.5704
person, 0.9923
person, 0.9828
person, 0.9643
person, 0.9496
person, 0.7903
person, 0.6409
person, 0.5674
person, 0.9916
person, 0.9678
person, 0.9548
person, 0.9162
person, 0.8105
person, 0.5666
person, 0.5036
person, 0.9905
person, 0.9799
person, 0.9745
person, 0.8804
person, 0.8077
person, 0.5930
person, 0.5869
person, 0.9918
person, 0.9859
person, 0.9774
person, 0.9080
person, 0.8285
person, 0.5572
person, 0.5321
person, 0.9928
person, 0.9833
person, 0.9553
person, 0.9517
person, 0.8581
person, 0.5157
person, 0.9924
person, 0.9905
person, 0.9828
person, 0.9767
person, 0.8920
person, 0.9940
person, 0.9929
person, 0.9819
person, 0.9732
person, 0.9043
person, 0.5037
person, 0.9959
person, 0.9951
person, 0.9680
person, 0.9397
person, 0.9137
person, 0.5224
person, 0.9974
person, 0.9955
person, 0.9772
person, 0.9662
person, 0.9133
person, 0.5022
person, 0.9961
person, 0.9930
person, 0.9849
person, 0.9269
person, 0.8945
person, 0.5377
person, 0.9959
person, 0.9888
person, 0.9782
person, 0.9502
person, 0.8848
person, 0.6241
person, 0.9960
person, 0.9888
person, 0.9784
person, 0.9496
person, 0.8848
person, 0.6240
person, 0.9974
person, 0.9872
person, 0.9623
person, 0.8990
person, 0.8987
person, 0.6064
person, 0.9959
person, 0.9916
person, 0.9544
person, 0.9121
person, 0.8963
person, 0.6247
person, 0.9968
person, 0.9893
person, 0.9378
person, 0.8962
person, 0.8915
person, 0.7497
person, 0.6052
person, 0.5011
person, 0.9959
person, 0.9925
person, 0.9257
person, 0.9125
person, 0.8762
backpack, 0.6287
person, 0.5704
person, 0.5247
person, 0.9972
person, 0.9649
person, 0.9242
person, 0.9142
person, 0.8942
backpack, 0.6329
person, 0.5702
person, 0.5643
person, 0.9962
person, 0.9938
person, 0.9811
person, 0.9658
person, 0.9254
backpack, 0.6801
person, 0.6786
person, 0.6406
person, 0.9969
person, 0.9963
person, 0.9847
person, 0.9617
person, 0.9351
person, 0.6798
person, 0.6228
backpack, 0.5067
person, 0.9971
person, 0.9966
person, 0.9795
person, 0.9699
person, 0.9405
person, 0.8285
person, 0.7016
person, 0.9970
person, 0.9956
person, 0.9841
person, 0.9772
person, 0.9311
person, 0.7680
person, 0.6565
person, 0.9941
person, 0.9940
person, 0.9851
person, 0.9798
person, 0.9256
person, 0.8047
person, 0.9942
person, 0.9926
person, 0.9846
person, 0.9657
person, 0.9146
person, 0.8438
person, 0.5967
person, 0.9942
person, 0.9925
person, 0.9845
person, 0.9660
person, 0.9144
person, 0.8438
person, 0.5944
person, 0.9897
person, 0.9849
person, 0.9820
person, 0.9556
person, 0.9279
person, 0.8365
person, 0.9911
person, 0.9876
person, 0.9672
person, 0.9570
person, 0.9337
person, 0.8150
person, 0.9950
person, 0.9894
person, 0.9849
person, 0.9345
person, 0.8556
person, 0.8385
person, 0.5661
person, 0.9957
person, 0.9901
person, 0.9804
person, 0.9400
person, 0.9054
person, 0.8398
person, 0.9956
person, 0.9866
person, 0.9850
person, 0.9534
person, 0.9370
person, 0.8617
person, 0.9940
person, 0.9895
person, 0.9382
person, 0.8435
person, 0.8318
person, 0.8017
person, 0.9913
person, 0.9858
person, 0.9427
person, 0.9084
person, 0.8204
person, 0.7806
person, 0.9917
person, 0.9826
person, 0.9622
person, 0.9455
person, 0.8237
person, 0.8053
person, 0.9933
person, 0.9887
person, 0.9709
person, 0.9504
person, 0.8177
person, 0.8012
person, 0.9937
person, 0.9922
person, 0.9500
person, 0.9235
person, 0.9008
person, 0.8146
person, 0.9935
person, 0.9902
person, 0.9377
person, 0.9290
person, 0.9199
person, 0.7870
person, 0.9935
person, 0.9902
person, 0.9381
person, 0.9289
person, 0.9178
person, 0.7878
person, 0.9932
person, 0.9904
person, 0.9798
person, 0.9328
person, 0.8778
person, 0.8243
person, 0.9929
person, 0.9854
person, 0.9802
person, 0.9364
person, 0.8510
person, 0.7613
person, 0.9880
person, 0.9539
person, 0.9275
person, 0.8457
person, 0.8175
person, 0.7791
person, 0.6862
person, 0.9884
person, 0.9649
person, 0.9193
person, 0.7948
person, 0.7941
person, 0.5455
person, 0.9848
person, 0.9779
person, 0.9454
person, 0.8077
person, 0.7516
person, 0.7270
person, 0.9786
person, 0.9710
person, 0.8770
person, 0.8044
person, 0.7190
person, 0.6955
person, 0.6638
person, 0.6416
person, 0.9770
person, 0.9661
person, 0.9479
person, 0.8489
person, 0.8081
person, 0.6342
person, 0.6101
person, 0.9812
person, 0.9672
person, 0.9641
person, 0.8809
person, 0.8509
person, 0.6525
person, 0.6424
person, 0.9871
person, 0.9721
person, 0.9247
person, 0.8433
person, 0.7834
person, 0.5730
person, 0.9841
person, 0.9472
person, 0.8500
person, 0.7685
person, 0.7554
person, 0.6105
person, 0.9868
person, 0.9752
person, 0.9632
person, 0.7606
person, 0.7442
person, 0.9868
person, 0.9752
person, 0.9631
person, 0.7614
person, 0.7440
person, 0.9869
person, 0.9793
person, 0.9246
