Detectado,Acuracia
person, 0.9997
car, 0.9633
person, 0.8174
person, 0.6593
person, 0.9997
car, 0.9633
person, 0.8174
person, 0.6593
person, 0.9997
car, 0.9668
person, 0.7711
person, 0.5919
person, 0.9996
car, 0.9687
person, 0.7628
person, 0.5635
person, 0.9996
car, 0.9671
person, 0.8158
person, 0.7034
person, 0.9996
car, 0.9683
person, 0.7539
person, 0.6869
person, 0.9989
car, 0.9713
person, 0.8463
person, 0.7706
person, 0.9990
car, 0.9674
person, 0.7901
person, 0.7436
person, 0.9992
car, 0.9691
person, 0.9227
person, 0.7615
person, 0.9994
car, 0.9712
person, 0.8596
person, 0.7468
person, 0.9997
car, 0.9662
person, 0.7356
person, 0.5507
person, 0.9993
car, 0.9677
person, 0.8194
person, 0.5309
person, 0.9996
car, 0.9675
person, 0.6439
person, 0.5393
person, 0.9997
car, 0.9693
person, 0.7453
person, 0.9994
car, 0.9759
person, 0.9992
car, 0.9802
person, 0.9996
car, 0.9804
person, 0.9997
car, 0.9702
person, 0.9999
car, 0.9511
person, 0.9997
car, 0.9123
person, 0.9990
car, 0.9458
person, 0.9991
car, 0.8955
person, 0.6940
car, 0.6203
person, 0.9993
car, 0.9645
car, 0.7116
person, 0.6503
person, 0.9990
car, 0.9747
person, 0.6946
car, 0.6441
person, 0.9994
car, 0.9681
car, 0.7547
person, 0.6952
person, 0.9988
car, 0.8955
person, 0.7793
car, 0.6088
person, 0.9981
car, 0.8497
person, 0.7876
car, 0.6860
person, 0.6230
person, 0.6081
person, 0.9974
car, 0.8790
person, 0.7731
car, 0.7532
person, 0.6116
person, 0.5586
person, 0.9961
car, 0.8289
person, 0.7501
car, 0.6695
car, 0.6459
person, 0.5949
person, 0.9982
car, 0.9169
car, 0.8426
person, 0.7174
person, 0.5909
person, 0.9980
car, 0.9565
car, 0.8192
person, 0.6898
person, 0.6230
person, 0.9960
car, 0.9642
car, 0.8608
person, 0.6826
person, 0.5531
person, 0.9963
car, 0.8990
car, 0.8513
person, 0.6805
person, 0.5216
person, 0.9963
car, 0.8909
person, 0.7077
person, 0.6575
car, 0.6247
person, 0.9938
car, 0.8989
person, 0.7104
person, 0.6059
person, 0.9883
car, 0.9560
person, 0.6991
person, 0.9942
car, 0.9799
person, 0.7284
person, 0.9955
car, 0.9904
person, 0.7409
person, 0.9952
car, 0.9790
person, 0.5704
car, 0.9894
person, 0.9830
person, 0.5264
car, 0.9877
person, 0.9866
person, 0.5927
person, 0.9940
car, 0.9921
person, 0.6663
person, 0.9897
car, 0.9786
person, 0.8382
person, 0.6221
car, 0.9948
person, 0.9861
person, 0.7904
person, 0.7153
car, 0.9947
person, 0.9855
person, 0.7992
person, 0.7190
car, 0.9958
person, 0.9128
person, 0.8406
person, 0.7606
person, 0.5324
car, 0.9890
person, 0.8621
person, 0.7941
person, 0.7787
person, 0.5909
car, 0.9941
person, 0.9003
person, 0.8329
car, 0.5793
car, 0.9905
person, 0.8929
person, 0.8274
person, 0.8178
person, 0.5397
car, 0.9921
car, 0.9038
person, 0.8455
person, 0.8414
car, 0.9927
car, 0.9036
person, 0.8205
person, 0.8029
car, 0.9857
car, 0.9549
person, 0.7713
person, 0.7473
car, 0.9905
car, 0.9417
person, 0.8396
person, 0.7639
car, 0.9893
car, 0.9531
person, 0.8203
person, 0.8015
person, 0.5383
car, 0.9804
car, 0.9522
person, 0.8653
person, 0.8326
car, 0.9835
car, 0.9485
person, 0.8784
person, 0.8363
car, 0.9797
car, 0.9512
person, 0.9035
person, 0.8728
person, 0.5436
person, 0.5265
car, 0.9847
car, 0.9485
person, 0.9270
person, 0.8774
person, 0.5939
car, 0.9813
car, 0.9525
person, 0.9375
person, 0.8787
person, 0.6866
car, 0.9722
car, 0.9518
person, 0.8681
person, 0.8565
person, 0.6164
car, 0.9814
car, 0.9528
person, 0.8611
person, 0.8492
person, 0.6722
car, 0.9716
car, 0.9533
person, 0.8628
person, 0.8140
person, 0.7077
