Detectado,Acuracia
person, 0.9992
person, 0.9996
person, 0.9987
person, 0.9998
person, 0.9984
person, 0.9945
person, 0.9938
person, 0.9972
person, 0.9948
person, 0.9979
person, 0.9966
person, 0.9988
person, 0.9995
person, 0.9910
person, 0.9941
person, 0.9983
person, 0.9945
person, 0.9960
cup, 0.5181
person, 0.9362
cup, 0.6137
person, 0.9727
cup, 0.8893
person, 0.9690
cup, 0.9510
person, 0.9288
cup, 0.9265
person, 0.9888
cup, 0.9551
person, 0.9879
cup, 0.9455
person, 0.9866
cup, 0.8405
cup, 0.9505
person, 0.9420
person, 0.9470
cup, 0.8852
person, 0.9921
cup, 0.5924
person, 0.9772
cup, 0.8733
person, 0.9932
cup, 0.9528
person, 0.9951
cup, 0.9367
person, 0.9931
cup, 0.7254
person, 0.9969
cup, 0.7958
person, 0.9970
cup, 0.8648
person, 0.9956
cup, 0.8536
person, 0.9950
cup, 0.8366
person, 0.9897
cup, 0.9364
person, 0.9748
cup, 0.9013
person, 0.9955
cup, 0.9220
person, 0.9914
person, 0.9846
remote, 0.6498
person, 0.9842
remote, 0.6492
person, 0.9971
person, 0.9953
person, 0.9943
person, 0.9987
person, 0.9986
person, 0.9992
person, 0.9990
person, 0.9969
person, 0.9985
person, 0.9994
person, 0.9984
person, 0.9981
person, 0.9998
